Thématique;Sous-thème;mot;noyau;genre;mot en chinois;phrases françaises;phrases chinoises;tag;
sentiment;aimer;ami, e;1;m./f.;??;Ce sont des amis fidèles.;?????????;ami/fidèle;
sentiment;aimer;copain, ine;1;m./f.;??;Il a beaucoup de copains au club de sport.;??????????????;copain/clubdesport;
sentiment;aimer;proche*;1;m.pl.;??;J'ai réuni tous mes proches pour une fête.;??????????????;réunir/proche/fête;
sentiment;confiance;confiance;0;f.;??;Elle a une entière confiance en son frère.;??????????;entière/confiance/frère;
sentiment;confiance;méfiance;1;f.;???;Je n'ai aucune méfiance envers eux.;????????????;aucune/méfiance;
sentiment;confiance;espoir;1;m.;??;Elle a l'espoir de revenir un jour dans son pays.;????????????;espoir/revenir/jour/pays;
sentiment;confiance;espérer;1;v.;??;J’espère que vous irez mieux.;????????;espérer/aller/mieux;
sentiment;confiance;souhait;1;m.;??;Tous nos souhaits de succès !;??????????;souhaiter/succès;
sentiment;confiance;souhaiter;1;v.;??;Elle a souhaité lui déclarer son amour.;??????????;souhaiter/déclarer/amour;
sentiment;confiance;fidèle;1;adj.;?? /??;Elle l’a quitté car il ne lui était pas fidèle.;?????????????;quitter/fidèle;
sentiment;confiance;fidélité;1;f.;?? /??;Il est connu pour sa grande fidélité.;????????;connu/grande/fidélité;
sentiment;confiance;trahir;1;v.;??;Il a été trahi par ceux qu’il croyait ses amis.;????????????;trahir/croire/ami;
sentiment;confiance;traître;1;n.;??;C'est là l'attitude d'un traître !;??????????;attitude/traître;
sentiment;confiance;optimisme;1;m.;??;Son optimisme est bien connu de tous.;???????????;optimisme/connu;
sentiment;confiance;optimiste;1;adj.;??;Je n’ai pas de raison de ne pas être optimiste.;?????????;raison/optimiste;
sentiment;confiance;pessimisme;1;m.;??;Son pessimisme lui fait tout voir en noir.;??????????????;pessimisme/faire/voir/noir;
